request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_26,15656000,affordable_now,full_payment,2025-08-03:15656000,03-08-2025,none,"Pay IDR 15,656,000 today. This leaves at least IDR 24,768,300 available over the next 90 days."
request_27,6670,affordable_now,full_payment,2026-07-05:6670,05-07-2026,none,"Pay ZAR 6,670 today. This leaves at least ZAR 20,500 available over the next 90 days."
request_28,404.12,not_affordable,not_recommended,none,,none,"Do not make this payment by 2024-08-15. None of the available options keeps the EUR 1,100 minimum protected."
request_29,51524,affordable_now,full_payment,2025-11-04:51524,04-11-2025,none,"Pay ZAR 51,524 today. This leaves at least ZAR 28,300 available over the next 90 days."
request_30,775.2,affordable_with_plan,installments,2026-04-06:268.74|2026-05-06:268.74|2026-06-05:268.74,06-04-2026,none,"Use 3 installments of USD 268.74, starting 2026-04-06. This leaves at least USD 900 available."
request_31,4012299.52,affordable_later,wait,2024-10-15:18164000,15-10-2024,none,"Pay IDR 18,164,000 in full on 2024-10-15. Paying earlier would take the balance below the IDR 16,588,900 minimum."
request_32,16265.56,affordable_later,wait,2025-04-15:40018,15-04-2025,none,"Pay ZAR 40,018 in full on 2025-04-15. Paying earlier would take the balance below the ZAR 35,700 minimum."
request_33,51782.22,affordable_later,wait,2026-01-15:118000,15-01-2026,none,"Pay INR 118,000 in full on 2026-01-15. Paying earlier would take the balance below the INR 102,100 minimum."
request_34,129400,affordable_now,full_payment,2024-12-04:129400,04-12-2024,none,"Pay INR 129,400 today. This leaves at least INR 138,500 available over the next 90 days."
request_35,48424.17,affordable_later,wait,2026-01-15:212000,15-01-2026,none,"Pay INR 212,000 in full on 2026-01-15. Paying earlier would take the balance below the INR 106,400 minimum."
request_36,658.11,affordable_later,wait,2026-09-15:3954,15-09-2026,none,"Pay USD 3,954 in full on 2026-09-15. Paying earlier would take the balance below the USD 2,400 minimum."
request_37,3022319.21,not_affordable,not_recommended,none,,none,"Do not make this payment by 2024-05-15. None of the available options keeps the IDR 17,056,200 minimum protected."
request_38,245,affordable_later,wait,2025-09-15:971.30,15-09-2025,none,Pay EUR 971.30 in full on 2025-09-15. Paying earlier would take the balance below the EUR 400 minimum.
